Target: 136  n_primes:  34  n_nodes: 3360  n_unique:  468
Primes> 11,23,29,73,23,47,13,53,47,19,41,29,19,31,73,13,31,11,53,41,
Primes> 11,23,73,29,23,13,47,53,13,19,31,73,19,41,29,47,41,11,53,31,
Primes> 11,29,23,73,29,47,19,41,47,13,53,23,13,31,73,19,31,11,41,53,
Primes> 11,29,73,23,29,19,47,41,19,13,31,73,13,53,23,47,53,11,41,31,
Primes> 11,73,23,29,73,13,19,31,13,47,53,23,47,41,29,19,41,11,31,53,
Primes> 11,73,29,23,73,19,13,31,19,47,41,29,47,53,23,13,53,11,31,41,
Primes> 23,29,11,73,29,41,19,47,41,31,53,11,31,13,73,19,13,23,47,53,
Primes> 23,29,73,11,29,19,41,47,19,31,13,73,31,53,11,41,53,23,47,13,
Primes> 23,73,11,29,73,31,19,13,31,41,53,11,41,47,29,19,47,23,13,53,
Primes> 23,73,29,11,73,19,31,13,19,41,47,29,41,53,11,31,53,23,13,47,
Primes> 29,73,11,23,73,31,13,19,31,53,41,11,53,47,23,13,47,29,19,41,
Primes> 29,73,23,11,73,13,31,19,13,53,47,23,53,41,11,31,41,29,19,47,
Primes> 11,23,41,61,23,47,13,53,47,19,29,41,19,43,61,13,43,11,53,29,
Primes> 11,23,61,41,23,13,47,53,13,19,43,61,19,29,41,47,29,11,53,43,
Primes> 11,41,23,61,41,47,19,29,47,13,53,23,13,43,61,19,43,11,29,53,
Primes> 11,41,61,23,41,19,47,29,19,13,43,61,13,53,23,47,53,11,29,43,
Primes> 11,61,23,41,61,13,19,43,13,47,53,23,47,29,41,19,29,11,43,53,
Primes> 11,61,41,23,61,19,13,43,19,47,29,41,47,53,23,13,53,11,43,29,
Primes> 23,41,11,61,41,29,19,47,29,43,53,11,43,13,61,19,13,23,47,53,
Primes> 23,41,61,11,41,19,29,47,19,43,13,61,43,53,11,29,53,23,47,13,
Primes> 23,61,11,41,61,43,19,13,43,29,53,11,29,47,41,19,47,23,13,53,
Primes> 23,61,41,11,61,19,43,13,19,29,47,41,29,53,11,43,53,23,13,47,
Primes> 41,61,11,23,61,43,13,19,43,53,29,11,53,47,23,13,47,41,19,29,
Primes> 41,61,23,11,61,13,43,19,13,53,47,23,53,29,11,43,29,41,19,47,
Primes> 29,83,07,17,83,19,11,23,19,67,43,07,67,41,17,11,41,29,23,43,
